client,rating
4-01365,1.0
4-17837,-65.5
7-89920,70.0
3-10372,-15.0
4-83121,100.0
5-28200,-57.5
6-76151,-16.0
9-31373,-7.5
6-12716,100.0
7-35200,98.0
7-54448,66.5
1-08398,-46.0
6-73290,-9.5
6-36016,-45.0
5-85174,4.0
1-93799,22.0
3-87065,100.0
5-35112,83.0
2-65598,22.5
3-76707,-13.0
3-84037,-11.5
8-05383,74.0
4-01009,-35.5
6-12886,-50.0
1-18212,66.5
6-93830,39.0
1-99031,65.0
4-24211,37.0
3-03528,17.5
2-86645,66.5
8-38443,11.0
1-64665,-29.0
5-64024,10.5
4-38117,22.0
8-18981,-8.0
3-80925,65.5
6-90741,62.0
5-58491,63.5
4-32256,65.0
8-96385,70.0
1-28126,70.5
2-72705,80.5
9-40773,2.0
9-38276,62.0
9-44685,-25.0
4-19575,59.5
6-74419,65.5
9-45493,29.0
7-46568,-41.0
1-42802,-25.0
8-58847,10.0
3-72486,66.0
1-57039,-24.5
2-92422,58.0
1-22774,66.5
6-26015,14.0
7-93193,55.5
5-68134,63.0
1-19465,69.0
8-07513,97.0
1-43958,83.0
5-01655,58.0
6-65642,-68.0
5-19499,-106.0
1-77891,69.0
9-93477,-51.0
2-73362,11.0
8-83081,37.0
4-93685,5.0
3-70305,99.0
1-61533,98.0
1-00813,80.5
3-70007,84.0
3-29897,96.5
9-63457,100.0
9-28604,71.0
1-44865,52.0
7-94707,-35.0
7-55426,-15.5
8-17734,-83.5
9-63851,6.0
9-17863,-48.0
8-71802,69.5
7-24438,70.0
3-26793,81.5
9-81785,96.5
4-30205,60.5
1-05688,70.0
1-70369,96.5
3-29529,-14.0
3-78706,58.0
1-82568,11.0
7-80065,53.0
8-85288,74.0
6-85935,-25.0
1-93806,43.0
2-76580,70.0
8-85893,69.0
3-39460,-35.5
7-74357,-119.0
1-49195,37.0
9-15857,21.5
4-32684,96.5
9-63941,69.0
9-38266,96.5
3-67433,-8.5
1-37503,96.5
9-74746,-35.5
9-51277,83.0
9-15203,75.0
8-36632,65.0
9-84459,100.0
2-28639,70.0
7-34254,50.0
9-90235,43.0
5-50445,71.0
9-02533,60.5
7-82361,65.5
7-58807,-9.0
9-90486,71.0
7-14090,15.5
3-53677,17.5
8-20699,-46.0
2-20765,99.0
4-93781,-10.5
9-38093,75.0
4-80076,42.0
5-94745,-7.0
9-30788,63.5
2-21157,70.0
7-48293,62.5
4-81248,-19.0
8-96035,83.0
2-28856,24.0
2-12311,21.5
5-22903,62.0
8-69984,83.0
5-52489,42.0
3-29148,65.5
3-74055,74.0
2-94633,74.0
6-14504,74.0
9-43018,42.0
2-44248,66.5
9-36748,99.0
7-88536,5.0
6-15632,-2.0
9-82108,65.5
6-59335,18.5
9-65597,-52.0
6-54546,31.0
5-50199,70.0
8-33688,-81.5
6-62361,74.0
6-13095,42.0
1-75192,60.5
2-38264,-72.5
8-70785,56.5
5-02518,6.0
5-21847,70.0
8-61011,98.0
8-60705,18.5
1-01632,8.0
1-55354,42.0
4-73829,97.0
8-19801,99.0
5-02648,24.0
3-92738,-10.5
6-10186,42.0
9-98838,-37.5
6-89244,35.5
3-38396,-10.5
2-23708,70.5
8-85000,35.0
1-33001,43.0
3-46664,83.0
1-71076,74.0
6-95750,-13.0
6-72586,-25.5
3-99150,11.0
1-32102,100.0
2-55463,99.0
9-64371,70.0
6-57665,4.0
3-37550,74.0
2-07754,84.0
6-11516,-23.0
4-61151,42.0
5-10506,22.5
5-34960,21.0
1-86888,60.5
6-13239,-6.5
7-10882,-9.0
1-24118,-9.0
6-15946,5.5
2-10598,24.5
4-61072,10.0
6-86044,84.0
4-63488,99.0
8-69599,56.5
4-83594,5.0
1-50081,64.5
8-18411,99.0
9-28146,98.0
8-40458,70.0
9-68725,98.0
9-13475,-19.0
3-02760,43.0
4-36593,5.0
3-61504,99.0
4-17265,84.0
1-23757,83.0
3-03136,70.0
3-06931,97.0
5-64193,18.5
1-22015,-76.5
5-12284,99.0
6-52603,18.5
9-66110,17.5
3-77247,70.5
6-36239,-55.0
9-51047,43.0
4-84559,39.5
9-40108,7.5
3-90872,21.5
8-89317,14.5
1-98876,98.0
1-45773,71.0
6-54246,84.0
6-09461,18.5
8-71424,59.5
9-21459,10.5
6-69380,62.0
2-54561,18.5
1-41455,60.5
7-85675,-14.5
4-90333,22.5
4-23298,40.0
5-84944,74.0
1-44535,74.0
9-64963,65.5
1-28864,14.0
1-51103,69.5
8-89503,-9.0
7-76313,100.0
8-22882,65.5
7-96093,59.5
4-38282,17.5
2-30682,75.0
3-35095,99.0
3-76547,95.5
4-49758,75.0
7-49267,-3.5
4-66648,99.0
1-38800,24.5
4-71261,99.0
6-26229,99.0
4-58725,94.5
8-21278,2.5
2-40722,66.0
9-98002,59.0
8-21635,15.0
7-29816,66.0
4-28796,-1.0
6-03545,-39.0
6-44011,70.0
9-51999,80.5
4-79097,70.0
9-23600,-7.0
9-60234,15.0
1-68754,59.0
1-79508,58.0
9-62387,12.0
3-64063,70.0
3-44499,71.0
5-37211,80.5
9-26928,-116.5
5-86024,33.5
5-95530,-15.5
6-05954,66.0
2-74106,74.0
5-48693,42.0
5-98919,65.0
9-50563,11.0
3-77113,-63.0
8-47183,100.0
7-84584,-38.5
3-77694,-116.0
2-44414,42.0
6-33987,57.0
9-57448,42.0
2-78652,60.5
2-33251,58.0
5-73547,99.0
2-76454,94.5
9-25789,70.0
4-83056,94.5
4-28367,-23.5
6-57612,99.0
8-66848,-86.0
3-29240,94.5
7-21971,52.5
6-42622,-59.5
8-01795,-22.5
9-08150,-62.0
7-92378,75.0
3-36901,-39.0
1-21000,59.0
6-99607,84.0
1-93662,62.0
8-27541,98.0
3-20387,-35.5
3-22250,58.0
4-10555,-73.0
8-80463,69.0
6-15237,94.5
4-05039,-81.5
9-57231,38.0
7-28053,58.0
5-49233,-17.5
8-12399,14.0
9-19116,-32.5
7-83476,59.0
5-64271,99.0
3-27245,19.0
7-07862,97.5
8-95309,-56.5
9-36029,38.0
4-01409,38.0
4-59202,59.5
3-45546,96.5
6-81780,59.5
1-17567,95.5
7-78285,71.0
4-05840,100.0
9-14149,-19.5
8-24708,-17.5
4-23899,81.5
8-11626,70.0
1-65938,66.0
9-38087,96.5
4-00082,-81.5
1-48649,-50.0
8-55170,38.0
4-21906,99.0
3-05817,-11.0
2-59435,97.5
6-05329,1.0
3-39079,66.5
2-80420,-15.0
6-66427,6.5
1-18308,16.0
6-35009,63.5
6-75561,-50.0
4-47858,34.0
6-69175,75.0
9-06871,-55.5
3-21742,74.0
8-94583,14.0
3-45016,-19.0
8-23816,9.0
2-76444,-59.5
4-58049,-24.5
5-52934,65.5
4-10376,40.0
8-17118,17.5
2-23384,75.0
2-74892,60.5
7-47649,11.5
1-26963,42.0
1-11697,-37.0
8-64552,74.0
8-67781,37.0
8-70202,98.0
7-26476,66.5
7-40954,66.5
3-06132,-41.5
7-96620,7.5
8-97072,42.0
7-71893,-9.0
3-74397,99.0
3-75393,65.5
3-35950,17.5
7-78232,84.0
2-18762,66.5
3-03088,11.0
6-70492,66.5
4-89063,27.5
4-32191,60.5
2-93513,74.0
3-68845,70.0
5-33401,-22.0
4-11028,-62.5
8-08848,29.5
4-33099,74.0
8-73951,7.5
6-64399,-56.5
9-51347,83.0
4-22274,38.0
8-94683,40.5
9-20886,-56.5
1-55907,83.0
5-29931,83.0
6-25858,59.5
6-77599,-64.0
2-23079,-35.0
1-74458,99.0
4-68511,100.0
4-20089,97.5
6-78338,-111.5
2-20107,59.0
8-34566,16.5
4-32490,12.5
7-95121,-42.5
3-14955,100.0
1-22937,17.5
3-51931,84.0
5-67943,8.0
2-48180,98.0
5-05649,-22.5
4-98208,83.0
8-13937,-16.0
1-29731,-14.0
8-78459,100.0
9-57837,100.0
5-05581,17.5
6-59407,43.0
4-65096,13.5
6-90650,74.0
5-02338,99.0
4-43507,95.5
2-58487,56.0
1-91611,69.0
2-04748,66.0
8-96277,70.0
5-13752,65.5
9-68945,23.0
8-51608,-3.5
5-87311,-25.0
5-06854,38.0
3-86784,97.5
4-07438,65.0
5-66847,-76.0
7-19214,37.0
7-40287,95.5
3-58882,10.5
9-44817,100.0
